Animal;Weight;Blood Sugar;Fasting Period;Insulin;Liver Glycogen
1;1502;0.124;24;0;1.8
2;1345;0.115;24;0;0.95
3;1425;0.128;24;0;1.12
4;1650;0.11;24;0;1.05
5;1520;0.052;24;1;0.45
6;1300;0.05;24;1;0.48
7;1250;0.045;24;1;0.75
8;1620;0.04;24;1;0.6
9;1725;0.13;36;0;0.76
10;1450;0.112;36;0;0.51
11;1800;0.105;36;0;0.48
12;1685;0.121;36;0;0.34
13;1560;0.116;36;0;0.38
14;1650;0.108;36;0;0.45
15;1650;0.032;36;1;0.65
16;1575;0.025;36;1;0.28
17;1260;0.045;36;1;0.1
18;1485;0.05;36;1;0.26
19;1520;0.03;36;1;0.18
20;1616;0.028;36;1;0.3
