strain,SPAC212.11,SPAC212.09c,SPAC212.04c,SPNCRNA.601,SPAC977.11,SPAC977.13c,SPAC977.15,SPAC977.16c,SPNCRNA.607,SPAC1F8.06
wt,4.947328595504889,5.443588822047231,5.751173712363358,5.731842546152852,7.046600634514993,5.33590352056998,6.500651598865236,7.23705980836515,5.96112331748326,6.640223417700639
wt,4.9695723553836695,6.205209366849611,5.058124850183285,4.868198102884581,6.8373240179336685,5.339053096023383,6.232900506871493,7.457934401875957,5.691650972404733,6.651266348138805
wt,5.657995382387766,6.172469808773366,5.5445571188623575,4.936256494119018,6.788718775607663,5.310125077026825,6.697946055147109,7.475547134597648,5.942602175824742,6.777697643871459
wt,5.452544991741682,5.943911126022144,5.675588663579591,5.569892393361569,6.8705599722332265,5.319715668776269,7.028231274626025,7.088272171721609,5.923746495009008,4.6167420543344
wt,5.44479938521144,6.333457205837557,5.175380853296429,5.3197633687017865,6.0921041756358445,5.988159667575772,6.923663936422495,7.461086597088963,5.874516983644976,5.607452656379734
wt,6.5012517029906665,6.405293632559166,5.1014331108431845,4.19836518546589,6.189225153116992,5.295881524584732,7.534348909948002,7.6465906651721856,4.842054644945188,6.149392954722168
wt,5.07883072964272,6.711638823840839,5.8233443931948585,5.168548377889491,6.908197968580545,7.606185339256068,6.441424719678761,6.878976904602506,7.377978968634109,5.65547480180036
wt,5.254860838317315,7.146485556491023,6.313479666335388,4.772002988227687,6.658501034727271,7.483294990320518,6.680045167581208,7.131172981567322,7.304704141171229,6.497173671203431
wt,5.324121443692557,6.93233644696982,6.59574748678646,5.078931978102221,6.93233644696982,7.142834616819,6.766412059300205,7.632571228821858,7.597659622919456,6.441647451760399
wt,4.853563336679969,6.790664076591217,5.618073820592432,5.399681232197692,6.220495480750596,5.742348911690467,5.742348911690467,6.535896256213552,6.960365767110796,6.655092386571178
wt,4.998833121388564,6.438861123301345,5.593699984253565,4.958703894473221,6.517245554425981,6.652849604848752,6.207552824846652,7.14569204868879,7.039610630637077,6.545487234286682
wt,5.092714894217346,6.641045199030807,5.674032335085828,5.145147189772233,6.571150216228091,6.265863237714615,6.353338079855373,7.264902815934489,6.889339485904292,6.681305008669476
wt,4.735530951521151,6.316304021112926,5.690588429767328,5.574974140633601,6.569222769835573,5.4101383500304525,5.795352415824712,5.84436452338993,6.266119695764686,7.118869394222204
wt,4.19836518546589,6.201336106995297,5.328001014954936,5.328001014954936,6.773836363065302,5.522415688302354,5.272627964619896,5.565737729094095,5.794797062826325,7.075510825847279
wt,5.257701985986096,6.8157119503967785,5.747766473570022,5.120737053846541,6.914221452414781,5.747766473570022,5.376515483610205,6.329082086387546,5.786436034903163,6.745866477243399
wt,5.192916001963254,6.14962633619217,5.72935511918688,5.5469300034846,6.63783393015031,5.611179984427937,5.836354362069829,5.861634008737513,6.1885497385765245,7.199274869928424
wt,4.935000607776176,6.729158054022564,5.758376116420621,5.095846278380879,6.930660577596621,5.542372197710409,5.758376116420621,6.253998330017044,6.4224714311190345,6.806889399368374
wt,5.347373022319406,6.305510253307348,5.67155310881121,4.83918694820083,6.656493771519353,5.097471451867682,5.888942667558471,5.820916742151465,5.820916742151465,7.22725875230968
mut,4.847734283423253,5.561733560791697,5.767856478259487,5.561733560791697,6.701644465139057,5.244672779209434,6.822384162335927,6.963450964580401,5.942442181598366,6.771942536456366
mut,5.017982215460877,5.966207392396466,6.004039448015165,5.528305064941182,7.081225202197446,5.111765983854605,6.344471795320931,6.767410205208474,5.75669881891488,6.542308788971875
mut,4.854337651216512,6.222593050069606,6.382396202608072,5.316183686459358,7.090541657691466,4.940385976914205,6.441206596383381,7.598721816482518,5.930171591193133,7.210144946664864
mut,5.517705149214338,6.17892575138005,6.488690273608996,5.517705149214338,6.463372302042155,5.460012615239688,6.631259368521435,7.165511243034588,6.463372302042155,6.079631008726568
mut,5.377455189073962,6.146501099021181,5.855400929776662,5.422947931507937,6.477285834335865,5.79397640097988,6.883937368721667,6.936980238511477,6.098436093865036,5.913782333672559
mut,5.449416919690818,6.205076161176907,6.179294347621518,5.346033014249335,5.746939398839711,5.982268614728488,6.500450682357584,7.860369148601055,5.669887363530634,6.152977698914122
mut,4.709621226773559,6.319539244742674,7.152704369624859,4.974037952014353,6.746196889183685,7.207657518306896,6.33426557484376,6.574495711743065,7.612831235070653,7.027102814940507
mut,5.030815595250093,6.411456615206867,7.051160887965272,5.211180233886767,7.1411109053956485,7.0158697703992345,6.585638336275983,6.664895294225506,7.452274074889395,6.023450298508136
mut,5.159418719172935,6.3970745288237065,7.03731345226686,4.731504132707014,6.8874552380230245,7.231433216024317,6.554408955748143,6.789025972526811,7.16392849718318,6.707243576136677
mut,4.19836518546589,5.904782405828342,6.502083707003991,4.596343440987298,6.126212412796487,5.923319306279458,6.062219453530468,6.822376995315173,6.756386139378878,6.656189170674367
mut,4.814510443160078,6.736745530331494,6.676172190045523,5.114169258228223,6.402201477470527,6.307569795995913,6.055180439612703,6.688505342546839,7.25407283664976,6.783332566709337
mut,4.479141500222889,6.738821945830184,6.195201356530183,4.98402991671192,6.5516856619278006,5.328727812267524,6.347048226078498,6.699418748303764,6.658835596174623,7.258321417163252
mut,4.626783661882739,6.204219616624142,6.079169477835944,5.046104873471113,6.694729023473282,5.187314758451892,5.78287754190216,5.940117881515615,6.597516510393048,7.035429162509278
mut,4.19836518546589,6.450939303932723,6.587409848388468,5.336695783061903,6.205730266143017,5.592340489129192,5.876586816032437,5.876586816032437,6.629970362129892,6.724348275425044
mut,4.982006527265507,6.074706457394066,6.353333440642004,5.034690379516336,6.607223170938406,5.293772739796389,5.939176651526406,6.3235234480286735,5.939176651526406,7.0232416942049465
mut,4.7717188624682185,6.312574742377867,6.367719598442997,4.530837637813793,6.895859872490471,5.367510154668133,5.59554394567389,5.839791726471839,6.064723155273157,7.229088838845476
mut,5.1205240458279615,5.8443517703781165,6.095237907368413,5.343808605053877,7.053500255825952,5.603798648413849,5.874950702718684,6.406736401757128,6.095237907368413,7.360718675808867
mut,5.133386644103945,6.642188974787873,6.140220858836555,5.205497366766831,6.878922114647097,5.334119112668888,5.392343110941358,5.844711114308435,6.017598368887387,7.624770262710323
